Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
10/08/2018 12:00:00 AM,Complete,Special Event,Commercial,,"Seattle Symphony Friday Matinees, Masterworks series (2.1)",S19FE012,02/01/2019 12:00:00 AM,02/01/2019 12:00:00 AM,,Downtown,7,West,Seattle Symphony,312
10/08/2018 12:00:00 AM,Complete,Special Event,Commercial,,NG Live! matinee for students (2.25),S19FE013,02/25/2019 12:00:00 AM,02/25/2019 12:00:00 AM,,Downtown,7,West,Seattle Symphony/Benaroya Hall,1030
11/05/2018 12:00:00 AM,Complete,Special Event,Community,,SR 99 Grand Opening Step Forward,S19FE014,02/02/2019 12:00:00 AM,02/02/2019 12:00:00 AM,,Belltown;Downtown;Duwamish / SODO;Pioneer Square;Queen Anne,7,Operations;Traffic;West,Washington State Department of Transportation and City of Seattle,50000
11/05/2018 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Tunnel to Viaduct 8K,S19FE015,02/02/2019 12:00:00 AM,02/02/2019 12:00:00 AM,Seattle Center,Belltown;Downtown;Duwamish / SODO;Pioneer Square;Queen Anne,7,West,Fizz Events,22000
11/05/2018 12:00:00 AM,Complete,Special Event,Athletic,Cycling,Tunnel Ride - Grand Opening of the New Tunnel,S19FE016,02/03/2019 12:00:00 AM,02/03/2019 12:00:00 AM,,Belltown;Downtown;Duwamish / SODO;Pioneer Square;Queen Anne,7,West,Cascade Bicycle Club,8100
11/07/2018 12:00:00 AM,Complete,Special Event,Community,,2019 Wing Luke Museum Lunar New Year Lion Dance,S19FE017,02/02/2019 12:00:00 AM,02/02/2019 12:00:00 AM,,International District,7,West,Wing Luke Museum of the Asian Pacific American Experience,570
11/19/2018 12:00:00 AM,Cancelled,Special Event,Commercial,,Alki Oyster Fest,S19FE022,02/17/2019 12:00:00 AM,02/17/2019 12:00:00 AM,,Alki / Admiral,1,Southwest,Alki Oyster Fest,210
11/02/2018 12:00:00 AM,Complete,Special Event,Community,,SODO Flea (2.9),S19FE023,02/09/2019 12:00:00 AM,02/09/2019 12:00:00 AM,,Duwamish / SODO,2,South,SODO Flea Market,100
01/09/2019 12:00:00 AM,Complete,Special Event,Community,,Lunar New Year Celebration,S19FE074,03/02/2019 12:00:00 AM,03/02/2019 12:00:00 AM,Hing Hay Park,International District,2,West,Chinatown-International District Business Improvement Area (CIDBIA),5150
01/22/2019 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Karr Tuttle Campbell - Westland Distillery,S19FE089,02/02/2019 12:00:00 AM,02/02/2019 12:00:00 AM,,Duwamish / SODO,2,West,Red Carpet Valet,40
01/22/2019 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Queen Anne Manor,S19FE090,02/07/2019 12:00:00 AM,02/07/2019 12:00:00 AM,,Queen Anne,7,West,Red Carpet Valet,60
01/22/2019 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Hillel of UW,S19FE091,02/07/2019 12:00:00 AM,02/07/2019 12:00:00 AM,,Queen Anne,7,West,Red Carpet Valet,110
01/10/2019 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (2.20),S19FE093,02/20/2019 12:00:00 AM,02/20/2019 12:00:00 AM,,Duwamish / SODO;Pioneer Square,7,West,Sounders FC,500
01/28/2019 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - First Light Condos,S19FE127,02/06/2019 12:00:00 AM,02/06/2019 12:00:00 AM,,Belltown,7,West,Butler Valet,125
02/04/2019 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Holocaust Center for Humanity,S19FE141,02/24/2019 12:00:00 AM,02/24/2019 12:00:00 AM,,Belltown,7,West,Red Carpet Valet,30
02/07/2019 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Sinclair & Moore - St. James Cathedral,S19FE142,02/16/2019 12:00:00 AM,02/16/2019 12:00:00 AM,,First Hill,3,East,Red Carpet Valet,40
04/22/2019 12:00:00 AM,Complete,Charter Vessel,,,Emerald City Pirates,CV19JY315,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Emerald City Pirates,51
06/13/2019 12:00:00 AM,Complete,Charter Vessel,,,Anchor Bay Charters - Seeker,CV19JY346,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Anchor Bay Charters,49
06/13/2019 12:00:00 AM,Complete,Charter Vessel,,,Sternwheeler Charters - Christine W,CV19JY347,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Sternwheeler Charters LLC,49
06/13/2019 12:00:00 AM,Complete,Charter Vessel,,,Waterway Cruises & Events - Destiny,CV19JY348,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Waterways Cruises & Events,46
06/13/2019 12:00:00 AM,Complete,Charter Vessel,,,Waterway Cruises & Events - Emerald Star,CV19JY349,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Waterways Cruises & Events,232
06/13/2019 12:00:00 AM,Complete,Charter Vessel,,,Waterway Cruises & Events - Olympic Star,CV19JY350,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Waterways Cruises & Events,156
06/13/2019 12:00:00 AM,Complete,Charter Vessel,,,Waterway Cruises & Events - West Star,CV19JY351,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Waterways Cruises & Events,130
06/17/2019 12:00:00 AM,Complete,Charter Vessel,,,Lake Union Charters & Adventures - Lavengro,CV19JY362,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Lake Union Charters & Adventures,22
06/17/2019 12:00:00 AM,Complete,Charter Vessel,,,Seattle Ferry Service - Fremont Avenue,CV19JY363,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,"Seattle Ferry Services, LLC",32
06/20/2019 12:00:00 AM,Complete,Charter Vessel,,,Sound San Juan Services - Trek,CV19JY366,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Sound San Juan Services,100
06/20/2019 12:00:00 AM,Complete,Charter Vessel,,,Argosy Cruises - Celebrations,CV19JY367,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Argosy Cruises,60
06/20/2019 12:00:00 AM,Complete,Charter Vessel,,,Argosy Cruises - Champagne Lady,CV19JY368,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Argosy Cruises,75
06/20/2019 12:00:00 AM,Complete,Charter Vessel,,,Argosy Cruises - Lady Mary,CV19JY369,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Argosy Cruises,175
06/20/2019 12:00:00 AM,Complete,Charter Vessel,,,Argosy Cruises - Salish Explorer,CV19JY370,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Argosy Cruises,350
06/20/2019 12:00:00 AM,Complete,Charter Vessel,,,Argosy Cruises - Sightseer,CV19JY371,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Argosy Cruises,60
06/14/2022 12:00:00 AM,Complete,Charter Vessel,,,MV Lady Mary,CV22JY213,07/04/2022 12:00:00 AM,07/04/2022 12:00:00 AM,,Wallingford,4,Harbor,Argosy Cruises,150
06/14/2022 12:00:00 AM,Complete,Charter Vessel,,,MV Goodtime 3,CV22JY214,07/04/2022 12:00:00 AM,07/04/2022 12:00:00 AM,,Wallingford,4,Harbor,Argosy Cruises,150
06/21/2022 12:00:00 AM,Complete,Charter Vessel,,,Queen Anne's Revenge,CV22JY227,07/04/2022 12:00:00 AM,07/04/2022 12:00:00 AM,,Wallingford,4,Harbor,Emerald City Pirates,40
06/23/2022 12:00:00 AM,Complete,Charter Vessel,,,Christine W,CV22JY228,07/04/2022 12:00:00 AM,07/04/2022 12:00:00 AM,,Wallingford,4,Harbor,Sternwheeler Charters LLC,49
06/21/2022 12:00:00 AM,Complete,Charter Vessel,,,Seeker,CV22JY233,07/04/2022 12:00:00 AM,07/04/2022 12:00:00 AM,,Wallingford,4,Harbor,Anchor Bay Charters,30
06/27/2022 12:00:00 AM,Complete,Charter Vessel,,,Lavengro,CV22JY234,07/04/2022 12:00:00 AM,07/04/2022 12:00:00 AM,,Wallingford,4,Harbor,Lake Union Charters & Adventures,20
06/08/2023 12:00:00 AM,Issued,Charter Vessel,,,Seeker,CV23JY235,07/04/2023 12:00:00 AM,07/04/2023 12:00:00 AM,,Wallingford,4,Harbor,Anchor Bay Charters,65
06/07/2023 12:00:00 AM,Issued,Charter Vessel,,,Goodtime 3,CV23JY236,07/04/2023 12:00:00 AM,07/04/2023 12:00:00 AM,,Wallingford,4,Harbor,Argosy Cruises,275
06/07/2023 12:00:00 AM,Issued,Charter Vessel,,,Lady Mary,CV23JY237,07/04/2023 12:00:00 AM,07/04/2023 12:00:00 AM,,Wallingford,4,Harbor,Argosy Cruises,275
06/13/2023 12:00:00 AM,Issued,Charter Vessel,,,Fremont Avenue,CV23JY238,07/04/2023 12:00:00 AM,07/04/2023 12:00:00 AM,,Wallingford,4,Harbor,Fremont Avenue Tours LLC,82
06/22/2023 12:00:00 AM,Issued,Charter Vessel,,,Christine W,CV23JY247,07/04/2023 12:00:00 AM,07/04/2023 12:00:00 AM,,Wallingford,4,Harbor,SternWheeler Charters LLC,48
